Percent scrolled,Page path,Sessions,Total users,article_id
10,/article/category/183030/post/202401300002/,117580,108996,202401300002
10,/article/category/183027/post/202402060007/,116984,112374,202402060007
10,/article/category/183012/post/202402020030/,110779,110217,202402020030
10,/article/category/183016/post/202402070006/,88962,89370,202402070006
10,/article/category/183012/post/202402080008/,84583,83258,202402080008
10,/article/category/183030/post/202402080007/,83465,77893,202402080007
10,/article/category/183015/post/202402040002/,79375,75521,202402040002
10,/article/category/183022/post/202402020014/,40331,40097,202402020014
10,/article/category/183035/post/202401240056/,32430,32067,202401240056
10,/article/category/183016/post/202402020027/,31409,30368,202402020027
25,/article/category/183030/post/202401300002/,109903,103112,202401300002
25,/article/category/183027/post/202402060007/,103903,101548,202402060007
25,/article/category/183012/post/202402020030/,93294,94106,202402020030
25,/article/category/183016/post/202402070006/,86061,85476,202402070006
25,/article/category/183012/post/202402080008/,81056,80347,202402080008
25,/article/category/183015/post/202402040002/,73376,70113,202402040002
25,/article/category/183030/post/202402080007/,69458,66749,202402080007
25,/article/category/183022/post/202402020014/,35109,34307,202402020014
25,/article/category/183016/post/202402020027/,28590,28317,202402020027
25,/article/category/183031/post/202402080003/,27813,27801,202402080003
75,/article/category/183027/post/202402060007/,8131,8300,202402060007
75,/article/category/183030/post/202401300002/,7476,7391,202401300002
75,/article/category/183016/post/202402020027/,4468,4462,202402020027
75,/article/category/183029/post/202402060011/,4366,4320,202402060011
75,/article/category/183012/post/202402020030/,3484,3480,202402020030
75,/article/category/183035/post/202401240056/,3444,3341,202401240056
75,/article/category/80407/post/202204190011/,2663,2660,202204190011
75,/article/category/183012/post/202402080008/,1728,1736,202402080008
75,/article/category/183027/post/202402070009/,1206,1208,202402070009
75,/article/category/183036/post/202212090013/,1019,1017,202212090013
90,/article/category/183012/post/202402020030/,3458,3433,202402020030
90,/article/category/183030/post/202401300002/,2040,1946,202401300002
90,/article/category/183015/post/202402040002/,1621,1597,202402040002
90,/article/category/183012/post/202402080008/,1441,1437,202402080008
90,/article/category/183008/post/202402060013/,1158,1141,202402060013
90,/article/category/183027/post/202402060007/,1100,1089,202402060007
90,/article/category/183022/post/202402020014/,1045,1034,202402020014
90,/article/category/183029/post/202402060011/,957,951,202402060011
90,/article/category/183013/post/202402020046/,910,898,202402020046
90,/article/category/183016/post/202402070006/,869,869,202402070006
