content_id,content_title_h1,content_title_description,content_class_main,content_class_sub,content_date_time,content_tag
5128255?utm_campaign=line_cw-social-daily-231205-5128255&utm_source=line_cw&utm_medium=social,中東霸氣灑錢，3個台大資工教授也幫阿布達比做AI　石油大國轉型AI大國？,【陳良榕專欄】AI進入燒錢競賽，中東挾著雄厚財力大投資。擁有舉世最先進的開源模型、第一所AI大學，台大資工教授也到阿布達比，石油大國能轉型？,產業,科技,2023-11-28,"AI,阿布達比,奧特曼,中東,阿聯,輝達,陳良榕"
5128255?utm_campaign=line_cw-social-daily-231205-5128255&utm_source=line_cw&utm_medium=social,中東霸氣灑錢，3個台大資工教授也幫阿布達比做AI　石油大國轉型AI大國？,【陳良榕專欄】AI進入燒錢競賽，中東挾著雄厚財力大投資。擁有舉世最先進的開源模型、第一所AI大學，台大資工教授也到阿布達比，石油大國能轉型？,產業,科技,2023-11-28,"AI,阿布達比,奧特曼,中東,阿聯,輝達,陳良榕"
5128248?utm_campaign=line_cw-social-daily-231205-5128248&utm_source=line_cw&utm_medium=social,中美「脫鉤」，只是讓供應鏈更長、更複雜,中美供應鏈脫鉤，但全球供應鏈變化沒有朝各國政府希望的方向發展，反而愈脫愈長。,重磅外媒,經濟學人,2023-11-28,"供應鏈,中美關係,中國+1,減碳,氣候目標"
5128401?utm_campaign=line_cw-social-daily-231205-5128401&utm_source=line_cw&utm_medium=social,金價又創歷史新高了！還會再漲嗎？專家：2024年持續強勢,黃金又創歷史新高了。10月份以哈戰爭爆發以來，黃金就持續維持強勢。上週五聯準會主席的一番話，又讓市場高度預期聯準會很快就要降息了。一番發言使得不但推升風險性資產價格，也讓金價大漲。,財經,財經焦點,2023-12-04,"金價,歷史新高,聯準會,美國降息"
5095795?utm_source=line_cw&utm_medium=social&utm_campaign=line_cw-social-deeplink&_branch_match_id=1260761858939849755&_branch_referrer=H4sIAAAAAAAAA8soKSkottLXTy5PLCjQA%2BGczLxsfVcj47D08LzAdLckANSpUVgiAAAA,3大陷阱　愈是優秀的人，愈無法成長,曾經是學校裡的明星，但到了職場怎麼就平庸到不行？「會念書的人」為什麼會成為「不會工作的人」？而為什麼有些人必須緊抓著「頭銜」不放？這到底是「待人處事能力」的問題，還是「職業能力」的問題呢？,管理,職場競爭力,2019-06-28,"成長,工作能力,學歷,職稱,頭銜,心態"
5128158?utm_source=line_cw&utm_medium=ad19&utm_campaign=nissan&utm_term=line-bn,台灣 SUV 排行變天？國產休旅安全科技王 X-TRAIL 輕油電，拆解購車新趨勢,"台灣車市最蓬勃的時刻來了！9 月份臺灣全月新車領牌數來到 37,083 輛，全年 1 至 9 月份累積銷售量達到約35萬輛大關，相較於 2022 年同期成長超過一成，顯見台灣車市快速升溫中。",產業,製造,2023-11-21,"NISSAN,X-TRAIL,輕油電,國民休旅車,可變壓縮比引擎"
5128244?utm_campaign=line_cw-social-daily-231205-5128244&utm_source=line_cw&utm_medium=social,90後青年對上政壇老鳥　三個零立委經驗「刺客」為何前進艱困選區？,2024年立委選舉中三強鼎立，極可能形成沒有單一政黨取得過半席次的「懸峙國會」，未來政局將如何發展？「地方派系」與「青年刺客」在混戰中扮演什麼角色？是藍白整合大戲落幕後最受矚目的議題。本文探討青年參政，對手是全國最高票或黨團最資深立委，零經驗的林家興、曾柏瑜、李有宜怎麼贏？,政治社會,政治,2023-11-28,"立委選舉,林家興,曾柏瑜,李有宜,艱困選區,青年參政"
5128361?utm_campaign=line_cw-social-daily-231205-5128361&utm_source=line_cw&utm_medium=social,天下國際週報：俄烏戰爭反轉？普丁為何開始佔上風,《經濟學人》：歐洲缺乏戰略遠見、美國因選戰而放慢援助速度，讓普丁暫時佔了上風。《彭博商業週刊》：OpenAI上演一週內拔掉奧特曼執行長位子，又把他求回來的驚人戲碼。奧特曼位子坐得更穩，但長期權力變化仍有待觀察。《巴倫週刊》：聯合國氣候峰會第一天就大聲宣告啟動「損失與損害」基金，讓富國出錢填補窮國的損失。但募資金額遠遠未達開發中國家期待。,國際,國際週報,2023-12-04,"普丁,俄烏戰爭,OpenAI,奧特曼,COP28"
https://maac.io/2kgUe/dtbw6,,,,,,
5128444?utm_campaign=line_cw-social-daily-231205-5128444&utm_source=line_cw&utm_medium=social,沒有芭比，《經濟學人》嚴選2023不容錯過最佳電影,《經濟學人》嚴選2023必看電影，票房大片《芭比》槓龜。這些佳片你都看過了嗎？,時尚品味,影視,2023-12-05,"電影,年度電影,奧本海默,宮崎駿"
